address,currency,price,expenses,size,bedrooms,bathrooms,listing_url,website,url,description,timestamp
"JOSE EVARISTO URIBURU Y AV SANTA FE 1°
                ",$,1000000,398000,141,3,3,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--17392391,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Semipiso 4 ambientes con dependencia. Frente. 148 m2. Impecable. Balcon corrido aterrazado. Todo sol. Doble entrada. Doble circulacion. Living y comedor. Baño completo + toilette con ducha. Gran cocina completa. 6 placards. Servicios centrales. Lavadero independiente cubierto. Pisos de parquet. Edificio de 8 pisos, ascensor.

Expensas: $ 398.000.-

No acepta mascotas

entre av. Santa fe y marcelo",2025-08-03T15:00:24.641432
"Av Santa Fe 3500, Piso 3
                ",$,1250000,194000,N/A,3,2,https://www.argenprop.com/departamento-en-alquiler-en-botanico-4-ambientes--11112406,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Señorial edificio francés. Integramente refaccionado, renovado y reciclado, con materiales de época. Excelente departamento al frente, 95m2. Apto profesional. Se ha preservado el estilo original.  Plastificado a nuevo en los dormitorios. Living , comedor, pasillo, cocina, baños y balcones vitrificados. Amplio living comedor con recepción y balcón a la av. Santa fe.  Agua caliente y calefacción",2025-08-03T15:00:24.642596
"Arcos 1600, Piso 7
                ",$,2600000,700000,140,3,4,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--6280679,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"En alquiler semipiso de categoria en corazon de belgrano. Edificio proximo a zona embajadas, seguridad 24hs. 
Palier privado
hall de entrada (1.40x1.40)
living comedor en l (3.50x9.25 y 3.75x4.60)
comedor diario (2.00x2.70)
cocina (muebles completos, horno + anafe 4.60x2.70)
lavadero cubierto, baño de servicio y dependencia (2.00x3.00)
toilette de recepcion
baño completo
dos dormitorios (con",2025-08-03T15:00:24.643701
"Av Santa Fe 2900, Piso 5
                ",$,1400000,450000,135,3,3,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--17354132,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Alquiler de departamento 4 ambientes en barrio norte, capital federal.

Amplio departamento de 4 ambientes + dependencia en exclusiva ubicación ¡Cerca y conectado de todo!

?Hall de entrada, a mano derecha se encuentran 3 habitaciones, la primera habitación cuenta con baño en suite y amplio placard.

Después toilette y otra habitación, la tercera habitación ¡Da al frente! Con amplia ventana y",2025-08-03T15:00:24.644806
"Guatemala al 6000
                ",USD,1500,280000,86,3,2,https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-4-ambientes--17805261,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Espectaular semipiso! Muy luminoso
gran balcón corrido al frente
amplia cocina con ventilación cruzada
dormitorio principal con baño en suite
calefacción por caldera individual
aires acondicionados

edificio con ameninities en zona inmejorable de palermo hollywood
cochera fija cubierta

no se adminten mascotas",2025-08-03T15:00:24.645886
"Conesa 2500, Piso 8
                ",USD,1000,270000,75,3,2,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--15398110,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Espectacular 4 ambientes  sin muebles!
Muy luminoso! Duplex.
8vo piso: gran living-comedor, toilette, balcón y lavadero.
9no piso: dormitorio principal con baño, segundo dormitorio de buen tamaño (con placcard), tercer dormitorio pequeño, baño completo. 
Cochera fija , descubierta.",2025-08-03T15:00:24.646962
"Gelly Y Av Cavia
                ",USD,2500,750000,113,3,2,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--17828598,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Libre ya  lo manaje ariel

palermo, 4 amb, 113m + 13m, gelly y av. Cavia, u$s 2500 x mes + $750.000 expensas (julio 2025)",2025-08-03T15:00:24.648393
"PACHECO DE MELO, JOSE 2100
                ",USD,1300,350000,96,3,2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--17800922,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Alquiler de departamento 4 ambientes en recoleta con terraza privada.

Disponible en breve, departamento de mucho estilo con 3 dormitorios y dependencia. Dormitorio principal con baño en suite.  Muy linda planta. Living que sale a la terraza privada de más 10 metros de ancho con parrilla.

Cocina moderna y luminosa. Edificio de categoría a pasos de la avenida las heras. Posibilidad de cochera",2025-08-03T15:00:24.649547
"Cramer 1600, Piso 1
                ",$,1200000,250000,80,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--17661024,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Este amplio y luminoso departamento se destaca por su excelente distribución y ambientes cómodos, ideales para disfrutar en familia o trabajar desde casa.

Al ingresar, un espacioso living brinda un ambiente cálido y funcional. Desde allí se accede a un balcón con vista al parque, perfecto para disfrutar del aire libre y la luz natural durante todo el día.

La propiedad cuenta con dos dormitorios",2025-08-03T15:00:24.650698
"Moldes 2100, Piso 4
                ",$,1200000,488000,85,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-3-ambientes--17755705,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Alquiler - departamento 3 ambientes con dependencia y cochera en belgrano

amplio y luminoso departamento de 3 ambientes con dependencia, ubicado al frente en un 4° piso de edificio tipo torre sobre calle moldes al 2100.

- Living comedor con salida a balcón
- cocina independiente con lavadero separado
- 2 dormitorios con placard
- dependencia amplia con iluminación natural
- 2 toilettes con",2025-08-03T15:00:24.651861
