address,currency,price,expenses,size,bedrooms,bathrooms,listing_url,website,url,description,timestamp,price_total_usd
"JOSE EVARISTO URIBURU Y AV SANTA FE 1°
                , CABA, Argentina",$,1000000.0,398000.0,141.0,3,3.0,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--17392391,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Semipiso 4 ambientes con dependencia. Frente. 148 m2. Impecable. Balcon corrido aterrazado. Todo sol. Doble entrada. Doble circulacion. Living y comedor. Baño completo + toilette con ducha. Gran cocina completa. 6 placards. Servicios centrales. Lavadero independiente cubierto. Pisos de parquet. Edificio de 8 pisos, ascensor.

Expensas: $ 398.000.-

No acepta mascotas

entre av. Santa fe y marcelo",2025-08-03 15:00:24.641432,1165.0
"Av Santa Fe 3500, CABA, Argentina",$,1250000.0,194000.0,,3,2.0,https://www.argenprop.com/departamento-en-alquiler-en-botanico-4-ambientes--11112406,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Señorial edificio francés. Integramente refaccionado, renovado y reciclado, con materiales de época. Excelente departamento al frente, 95m2. Apto profesional. Se ha preservado el estilo original.  Plastificado a nuevo en los dormitorios. Living , comedor, pasillo, cocina, baños y balcones vitrificados. Amplio living comedor con recepción y balcón a la av. Santa fe.  Agua caliente y calefacción",2025-08-03 15:00:24.642596,1203.3333333333335
"ARENALES 3768  cochera fija , CABA, Argentina",$,1400000.0,211000.0,100.0,3,3.0,https://www.argenprop.com/departamento-en-alquiler-en-botanico-4-ambientes--17716529,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Super luminoso   excelente ubicación en el corazón de palermo 
bajas expensas  
a 1   cuadra de  av sta fe ,y del subte linea d  d  .A media cuadra scalabrini ortiz .
A pocas cuadras del shopping alto palermo  cercano a variados comercios y transportes 
cuenta con cochera y pileta con solarium   

el departamento  se encuentra al contrafrente , super tranquilo y muy luminoso
se entrega recién",2025-08-03 15:00:24.652951,1342.5
"ARAOZ 2900, CABA, Argentina",$,1200000.0,303200.0,92.0,3,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--17131986,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Edificio en esquina. Todos sus ambientes son externos, piso alto. Cerca de varias lineas de colectivos y a una cuadra de la plaza coronel díaz. Consta de; living comedor, tres dormitorios , un baño completo y un toilette , en el area de servicio; consta de , cocina , lavadero , dependencia de servicio con su correspondiente baño. Los servicios son centrales, el agua caliente por caldera y la",2025-08-03 15:00:24.655131,1252.6666666666667
"Marcelo T de Alvear 1640 5º A
                , CABA, Argentina",$,990000.0,180000.0,93.0,3,3.0,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--17660675,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Luminoso departamento de 4 ambientes en excelente ubicación
puerta blindada y doble circulación
amplio living - comedor con acceso a balcón al frente
cocina completa renovada con conexión para lavarropas
lavadero con baño de servicio.
3 dormitorios con placards de piso a techo. Dormitorio ppal. Con acceso a balcón.
Baño ppal. Con bañera
toilette

la información gráfica y escrita contenida en el",2025-08-03 15:00:24.659618,975.0
"Olazabal al 2800
                , CABA, Argentina",$,1400000.0,310000.0,100.0,3,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-5-ambientes--17879023,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"En el corazon de belgrano piso 17 con toda la vista y sol. Amplio living- comedor a balcón, escritorio o cuarto dormitorio, tres dormitorios todos externo, cocina office y lavadero, baño completo y toilette. Expensas $ 310.000 (aysa incluida) abl $ 44.000.",2025-08-03 15:00:30.784073,1425.0
"Olazabal 2000, CABA, Argentina",$,1150000.0,200000.0,90.0,3,2.0,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-barrancas-4-ambientes--17292864,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"Departamento de 3 amb con dependencia y cochera cubierta en olazabal 2046 piso 2 contrafrente. El departamento cuenta con 2 entradas, una principal y otra de servicio, cocina con comedor diario, lavadero independiente, dormitorio de servicio con baño, living comedor con salida al balcón con una hermosa vista, 2 dormitorios comedor con placard, y baño completo, con cochera cubierta. 
El edificio",2025-08-03 15:00:30.786237,1125.0
"Paraguay 3300, CABA, Argentina",$,750000.0,140000.0,90.0,3,2.0,https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-4-ambientes--17615567,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"Palermo,
 departamento 4 ambientes de 90metros cuadrados en muy buen estado,
living comedor 
cocina central con muebles de alto y bajo mesada.
Habitación principal con placard.
Baño completo.
2 habitación con placard.
3 habitación con mueble repisa y lugar de guardado.
Pisos de parquet.
2 baño con ducha.
Alquiler hasta 24 meses.
Garantía de caucion o garantia propietaria.
Aumento trimestral",2025-08-03 15:00:30.790659,741.6666666666666
"Arenales 2500, CABA, Argentina",$,1299000.0,250000.0,110.0,3,2.0,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--17461363,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"Alquiler departamento 4 ambientes con dependencia en zona universidades y clínicas.

 ¡Ideal estudiantes y extranjeros en recoleta! Amplio departamento de 4 ambientes con dependencia.

 Descubre este cómodo y funcional departamento de 4 ambientes, estratégicamente ubicado en el corazón de recoleta, a pasos de las principales universidades y centros de salud de la zona. Perfecto para estudiantes y",2025-08-03 15:00:30.791716,1290.8333333333333
"Azcuénaga 1000, CABA, Argentina",$,1300000.0,299000.0,100.0,3,2.0,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--17525312,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"Espectacular 4 ambientes amoblado al frente con balcón, living con salida al balcón, cocina a gas natural con comedor, muebles completos y lavadero,  dos baños  y un toilette, dormitorios con placard, muy luminoso y soleado, ubicado entre la av. Santa fe y marcelo t. Alvear.
Alquiler mínimo por 3 meses y 1 año ajustado.

Abl $62.580 
aysa $39430

se ha incluido un video recorrido a este anuncio",2025-08-03 15:00:30.800335,1332.5
